job_title,company_name,contract_type,niveau_etude,secteur,teletravail,experience,salaire,skills,city,department
Stagiaire - Software Engineer - Full Stack - Financial Services H/F,Deloitte,Stage,Bac +5,Services aux Entreprises,True,7.0,43653.0,"['docker', 'devops', 'github', 'rest', 'django', 'azure', 'kubernetes', 'angular', 'git', 'postgresql', 'typescript', 'analytics', 'css']",La Défense,92
Full-Stack Software Engineer Python - Angular H/F,AGICAP,CDI,Bac +5,Secteur informatique • ESN,True,1.0,61500.0,"['angular', 'python']",Lyon,69
Front-End Software Engineer Ddd & Angular H/F,AGICAP,CDI,Bac +5,Secteur informatique • ESN,False,1.0,55500.0,['angular'],Lyon,69
Back-End Software Engineer Ddd & .Net H/F,AGICAP,CDI,Bac +5,Secteur informatique • ESN,True,1.0,61500.0,['java'],Lyon,69
Software Engineer Java H/F,TRSB,CDI,,,False,,43653.0,"['oracle', 'apache', 'rest', 'windows', 'java', 'git', 'hibernate', 'spring']",Aix-en-Provence,13
Software Engineer .Net H/F,TRSB,CDI,,,False,,43653.0,['angular'],Avignon,84
Software Engineer Formal Methods H/F,Inetum,CDI,Bac +5,Secteur informatique • ESN,False,7.0,43653.0,"['ruby', 'python', 'java', 'kubernetes', 'java']",Vélizy-Villacoublay,78
Lead Software Engineer React Js Nest Js Postgre Redis H/F,Team.is,CDI,Bac +5,Secteur informatique • ESN,True,1.0,46500.0,"['python', 'python', 'python', 'python', 'java', 'typescript', 'ibm cloud', 'kotlin', 'python']",Nantes,44
Lead Software Engineer React Js Nest Js Postgre Redis H/F,Team.is,CDI,Bac +5,Secteur informatique • ESN,True,1.0,46500.0,"['python', 'c/c++', 'git', 'python', 'python', 'windows', 'selenium', 'python', 'ruby', 'mysql']",La Roche-sur-Yon,85
Lead Software Engineer React Js Nest Js Postgre Redis H/F,Team.is,CDI,Bac +5,Secteur informatique • ESN,True,1.0,46500.0,"['java', 'php', 'swift', 'c/c++', 'python', 'ibm cloud', 'ruby on rails', 'xamarin', 'oracle', 'ruby', 'ibm cloud']",Cholet,49
Lead Software Engineer React Js Nest Js Postgre Redis H/F,Team.is,CDI,Bac +5,Secteur informatique • ESN,True,1.0,46500.0,"['kotlin', 'python']",Pornic,44
Lead Software Engineer React Js Nest Js Postgre Redis H/F,Team.is,CDI,Bac +5,Secteur informatique • ESN,True,1.0,46500.0,"['ruby', 'swift', 'c/c++', 'flutter']",Angers,49
Software Engineer Java Backend H/F,TRSB,CDI,,,False,,43653.0,"['docker', 'big data', 'microservices', 'node.js', 'rest', 'c#', 'kubernetes', 'junit', 'java', 'kibana']",Lyon,69
Software Engineer Java Backend H/F,TRSB,CDI,,,False,,43653.0,"['docker', 'big data', 'microservices', 'node.js', 'rest', 'c#', 'kubernetes', 'junit', 'java', 'kibana']",Marseille,13
Développeur - Software Engineer H/F,MAIF,CDI,Bac +5,,True,,47500.0,"['devops', 'javascript', 'java']",Niort,79
Software Engineer Java - Angular H/F,VAHUMANA,CDI,,,False,,43653.0,"['angular', 'aws', 'docker', 'java']",Lyon,69
Full-Stack Software Engineer Typescript Next.Js Shadcn 2 à d'Exp Mini H/F,Twenty One Talents,CDI,Bac +5,Secteur informatique • ESN,True,7.0,60000.0,"['postgresql', 'typescript']",Paris,75
Full Stack Software Engineer Ruby-On-Rails Vuejs Postgresql d'Exp Mini H/F,Twenty One Talents,CDI,Bac +5,Secteur informatique • ESN,True,7.0,67500.0,"['rails', 'ruby', 'vuejs']",Paris,75
Embedded Software Test Engineer H/F,Aubay,CDI,Bac +5,Secteur informatique • ESN,True,1.0,43653.0,"['linux', 'frontend development', 'python', 'dart', 'scala', 'typescript', 'swift', 'python', 'kotlin']",Paris,75
Ingénieur Train Control - Software Development Engineer Sde H/F,Segula Technologies,CDI,,,False,,43653.0,"['devsecops', 'computer vision', 'oracle', 'c/c++', 'c/c++', 'swift', 'kotlin']",Valenciennes,59
Software Developer & Application Engineer H/F,Axa investment managers,CDI,Bac +5,,False,,43653.0,"['php', 'devops', 'azure']",Puteaux,92
Software Power Control Engineer H/F,Es Tete Grand Sud Ouest,CDI,,,False,,42500.0,"['testing', 'python', 'spring']",Toulouse,31
Qa - Software Test Engineer H/F,ALTEN,CDI,Bac +5,Secteur informatique • ESN,True,,52500.0,"['php', 'php', 'testing']",Valbonne,06
Software Developer & Application Engineer H/F,AXA en France,CDI,Bac +5,,True,,43653.0,"['php', 'devops', 'azure']",Puteaux,92
Lead Software R&D Engineer - Robotics & Vision H/F,Exotec,CDI,,,False,,40000.0,"['opencv', 'git', 'linux', 'java']",Lille,59
Ingénieur Développement Logiciel H/F,Safran,CDI,,,False,,43653.0,"['php', 'linux', 'github', 'devops', 'azure', 'windows', 'python']",Nantes,44
Ingénieur Développement Logiciel H/F,Alegria,CDI,Bac +5,Services aux Entreprises,True,1.0,50000.0,python,Grenoble,38
Ingenieur Developpement Software H/F,Emovia,CDI,Bac +5,,False,1.0,41000.0,"['ruby', 'swift', 'python', 'hadoop']",Colmar,68
Architecte Applicatif H/F,Open,CDI,,,False,,43653.0,"['aws', 'docker', 'devops', 'jira', 'android', 'angular', 'java', 'git', 'spring', 'ios']",Rennes,35
Ingénieur Développement Logiciel H/F,Hager Group,CDI,Bac +5,,True,,54000.0,"['linux', 'devops', 'azure', 'python', 'git']",Saverne,67
Ingénieur Développement Logiciels H/F,Hager Group,CDI,Bac +5,,True,,52500.0,"['azure', 'git', 'devops']",Crolles,38
Ingénieur Développement Logiciel H/F,L'Industrie recrute,CDI,Bac +5,,True,7.0,43653.0,"['git', 'javascript']",Chavanod,74
Ingénieur en Développement Logiciel H/F,CEA,CDD,Bac +5,Services aux Entreprises,True,,44500.0,"['sql', 'android', 'php', 'nginx', 'swift', 'microservices']",Labège,31
Ingénieur Logiciel - Ingénieure Logiciel H/F,Guarani,CDI,Bac +5,Secteur informatique • ESN,True,1.0,45000.0,"['php', 'devops', 'react native', 'react', 'android', 'java', 'flutter', 'typescript', 'ios']",Nice,06
Ingénieur Software H/F,AlisPharm,CDI,,,False,,54000.0,['windows'],Montpellier,34
Ingénieur Software H/F,AlisPharm,CDI,,,False,,54000.0,['windows'],Montpellier,34
Ingénieur Développement Logiciel H/F,PRODWAYS GROUP,CDI,Bac +5,,True,7.0,47500.0,"['python', 'kotlin', 'php', 'scala', 'python', 'c/c++', 'selenium', 'dart']",Yvelines,78
Ingénieur Logiciel H/F,TDM BDX,CDI,Bac +5,,True,1.0,44000.0,['php'],Mérignac,33
Ingénieur Développement Logiciel H/F,Up Skills Cadres et Experts,CDI,Bac +5,Secteur informatique • ESN,True,1.0,45000.0,"['php', 'linux', 'javascript', 'jira', 'windows', 'angular', 'deep learning', 'git']",Vaulx-en-Velin,69
Ingénieur Développement Logiciel H/F,MVG Industries,CDI,Bac +5,,True,1.0,43653.0,"['java', 'java', 'node.js', 'typescript', 'java', 'java', 'python', 'swift', 'dart', 'ruby', 'php']",Plouzané,29
Architecte Applicatif H/F,Astek,CDI,Bac +5,Secteur informatique • ESN,True,,43653.0,"['hibernate', 'kubernetes', 'ibm cloud', 'kotlin', 'c#', 'express.js']",Brest,29
Ingénieur Développement Logiciel H/F,Astek,CDI,Bac +5,Secteur informatique • ESN,True,,43653.0,"['.net', 'python', 'apache', 'circleci', 'dart', 'big data', 'ruby', 'jenkins', 'java', 'python']",Paris,75
Ingénieur Développement Logiciel H/F,Astek,CDI,Bac +5,Secteur informatique • ESN,True,,43653.0,"['oracle', '.net', 'windows', 'html5']",Paris,75
Ingénieur Développement Logiciel H/F,L'Industrie recrute,CDI,Bac +5,,False,7.0,43653.0,"['jenkins', 'java', 'git', 'spring', 'css']",Dadonville,45
Ingénieur Logiciel H/F,Naval Group,CDI,Bac +5,,False,1.0,43653.0,"['frontend development', 'ruby', 'circleci', 'oracle', 'vue.js', 'kotlin', 'java', 'dart', 'angular', 'python', 'nginx', 'swift']",Bagneux,92
Software Integration Engineer Confirmé H/F,Atos,CDI,Bac +5,Secteur informatique • ESN,True,,43653.0,"['oracle', 'jenkins', 'linux', 'windows', 'python', 'postgresql', 'shell', 'apache']",Grenoble,38
